PENSIONES EN VIGOR A 1 DE FEBRERO DE 2025;;;;;;;;;;;;
Régimen ;CLASE DE PENSIÓN;;;;;;;;;;;
;Total;;Incapacidad permanente;;Jubilación;;Viudedad;;Orfandad;;Favor de familiares;
;Número;P.Media (€/mes);Número;P.Media (€/mes);Número;P.Media (€/mes);Número;P.Media (€/mes);Número;P.Media (€/mes);Número;P.Media (€/mes)
Total sistema;10293631;1307.18;1002040;1205.52;6562698;1500.67;2344638;932.41;338138;523.94;46117;777.4
General;7682917;1423.35;771775;1226.76;4871521;1661.1;1746967;990.29;258945;538.12;33709;808.06
Trabajadores autóomos;2001169;906.1;118389;927.03;1346574;1006.23;464629;679.72;61753;434.25;9824;600.27
Trabajadores del mar;115977;1335.6;6747;1234.05;64111;1658.16;39130;923.98;4704;647.54;1285;828.25
Minerí­a del carbón;57570;2286.54;1680;2012.49;34114;2894.77;19292;1393.29;1812;973.2;672;1279.49
Accidentes de trabajo;203123;1323.53;89098;1376.6;54120;1565.15;49533;1126.21;9941;523.6;431;1137.99
Enfermedades profesionales;31713;1564.95;11994;1321.56;10039;1963.63;8501;1503.06;983;1004.45;196;1534.25
SOVI;201162;506.63;2357;525.18;182219;504.5;16586;527.41;-;-;-;-
Fuente: Seguridad Social. Pensiones en vigor a 1 de febrero de 2025. Consulta en marzo de 2025.;;;;;;;;;;;;
https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST23/EST24;;;;;;;;;;;;
